,strategy,dataset,hop,executors,links,time
0,AA,arxiv,1,12,100,6.286556959152222
1,AA,yeast,2,4,500,9.616273164749146
2,AB,facebook,1,4,100,1533.3909652233124
3,AA,yeast,2,8,500,9.389595031738281
4,AA,USAir,1,8,10,2.6959421634674072
5,AA,arxiv,2,4,10000,4975.0439920425415
6,AA,USAir,1,8,100,3.7238497734069824
7,AB,PB,1,4,10,52.34084868431091
8,AA,arxiv,1,12,5000,12.399874925613403
9,AA,USAir,1,4,100,4.111640214920044
10,AB,USAir,1,4,100,233.70765376091003
11,AA,USAir,2,8,500,9.186031341552734
12,AA,USAir,2,4,500,9.503544330596924
13,AA,facebook,1,8,10,3.955028772354126
14,AA,arxiv,2,12,500,763.0582737922668
15,AA,yeast,1,4,100,3.819152593612671
16,AA,yeast,1,8,100,3.780621290206909
17,AB,arxiv,1,4,10,55.21450400352478
18,AA,arxiv,2,12,100,626.7526204586029
19,AA,yeast,1,4,500,4.191301584243774
20,AB,yeast,1,8,1000,275.7477262020111
21,B,USAir,1,12,10,19.814504861831665
22,AB,yeast,1,4,1000,290.3499901294708
23,AA,yeast,1,8,500,4.2173192501068115
24,AA,arxiv,1,12,1000,6.846888065338135
25,AA,USAir,2,8,100,8.849445581436157
26,AB,USAir,1,4,500,252.42736506462097
27,AB,arxiv,1,8,10,52.07461166381836
28,AA,yeast,2,8,10,2.9994072914123535
29,AA,USAir,2,4,100,8.885102272033691
30,AB,USAir,1,4,1000,225.18344831466675
31,AA,PB,2,4,10,15.784199714660645
32,AA,USAir,1,8,500,4.142331600189209
33,AA,USAir,1,4,500,4.506237506866455
34,B,yeast,1,12,10,18.076565265655518
35,AB,USAir,1,8,1000,232.9198877811432
36,B,arxiv,1,4,10,25.213394165039062
37,AB,facebook,1,4,500,1487.4013359546661
38,AA,arxiv,1,12,500,6.536997556686401
39,AA,yeast,2,4,100,8.62455677986145
40,AA,yeast,2,8,100,8.404417753219604
41,AB,PB,1,8,10,51.7559597492218
42,AB,arxiv,1,12,1000,438.1078164577484
43,AA,facebook,1,8,10000,57.51463770866394
44,AB,PB,1,8,1000,625.6320950984955
45,B,facebook,1,4,500,819.2054991722107
46,AA,facebook,1,8,50000,263.3405201435089
47,AA,yeast,1,12,500,3.9351515769958496
48,AA,PB,1,4,500,8.573591470718384
49,AA,PB,1,8,500,8.668696403503418
50,AB,yeast,1,12,1000,271.85244131088257
51,AB,PB,1,4,1000,670.3649923801422
52,AA,USAir,1,12,100,3.86741304397583
53,B,facebook,1,8,500,736.6925504207611
54,AA,arxiv,2,12,10,59.42526054382324
55,AA,arxiv,2,8,10,58.51783561706543
56,B,PB,1,8,10,21.784878253936768
57,B,yeast,1,4,10,21.75468158721924
58,B,PB,1,12,10,23.114580869674683
59,AB,USAir,1,8,10,37.44831299781799
60,AB,PB,1,12,10,52.134536027908325
61,AA,yeast,2,12,100,8.3624849319458
62,AA,PB,2,4,100,76.94468903541565
63,AA,facebook,1,8,25000,142.1608326435089
64,AA,USAir,2,12,500,8.95781421661377
65,AA,PB,2,8,100,75.73775792121887
66,AB,USAir,1,4,10,37.958311557769775
67,AA,arxiv,2,4,25000,12703.96037697792
68,AA,yeast,2,12,500,9.362718343734741
69,AA,PB,2,4,500,83.90970182418823
70,AA,PB,2,8,500,83.22116303443909
71,AA,USAir,2,12,100,8.807902336120605
72,AA,facebook,1,12,10,4.127458810806274
73,AA,yeast,1,12,100,3.8071796894073486
74,AA,PB,1,4,100,6.621140241622925
75,AB,USAir,1,12,1000,267.4187681674957
76,AA,arxiv,2,4,50000,25632.71975326538
77,B,facebook,1,4,100,185.19567108154297
78,B,facebook,1,8,100,157.0562846660614
79,AA,USAir,1,12,500,4.100371599197388
80,AA,PB,1,8,100,6.376684904098511
81,AB,facebook,1,8,10,255.29571199417114
82,AA,USAir,1,12,10,3.066249370574951
83,AA,USAir,1,4,1000,4.712160587310791
84,AB,arxiv,1,8,100,461.4203984737396
85,B,arxiv,1,12,100,125.16851353645325
86,AA,facebook,1,8,1000,20.737857818603516
87,B,USAir,1,4,100,134.0103223323822
88,AB,arxiv,1,12,100,462.42166447639465
89,B,PB,1,4,1000,1431.6354596614838
90,B,USAir,1,8,100,104.5440993309021
91,AA,arxiv,1,4,10000,31.809704303741455
92,AA,PB,2,12,1000,83.41588711738586
93,AA,PB,1,8,1000,8.890901327133179
94,AA,arxiv,2,8,5000,1350.4365797042847
95,AA,arxiv,1,4,10,2.9504811763763428
96,B,facebook,1,4,1000,1842.8546640872955
97,AA,yeast,1,12,10,2.5151705741882324
98,B,yeast,1,8,100,100.39853286743164
99,B,USAir,1,8,1000,996.7309181690216
100,B,yeast,1,4,100,129.46401953697205
101,B,yeast,1,8,500,483.84373569488525
102,B,yeast,1,8,1000,884.8580191135406
103,B,yeast,1,4,500,594.7635333538055
104,B,USAir,1,8,10,18.94019103050232
105,AA,facebook,2,8,10000,1535.72704744339
106,AB,facebook,1,12,10,255.4114158153534
107,AA,facebook,1,8,5000,33.021071910858154
108,B,USAir,1,4,500,616.4589877128601
109,B,USAir,1,8,500,476.2376754283905
110,AB,arxiv,1,12,500,469.0278561115265
111,AB,facebook,1,4,10,257.48689436912537
112,B,facebook,1,8,10,24.988689422607422
113,AA,arxiv,2,8,1000,770.5288310050964
114,AB,arxiv,1,8,500,458.0830035209656
115,B,yeast,1,12,1000,800.9995586872101
116,AA,yeast,1,4,1000,4.5605082511901855
117,AB,USAir,1,12,10,37.53930425643921
118,B,arxiv,1,12,500,572.8335375785828
119,B,facebook,1,12,1000,1472.5319240093231
120,AA,USAir,1,12,1000,4.248572111129761
121,B,USAir,1,12,100,98.09038043022156
122,AA,facebook,1,8,500,16.212700366973877
123,B,PB,1,8,500,583.3122847080231
124,AB,PB,1,4,500,656.4086678028107
125,AB,facebook,1,4,1000,2832.716256380081
126,B,PB,1,4,500,720.1038463115692
127,AA,arxiv,1,4,1000,7.098068475723267
128,AB,facebook,1,8,1000,1616.6788711547852
129,B,yeast,1,12,500,439.6727430820465
130,AA,facebook,1,4,500,16.514347076416016
131,AA,facebook,2,4,10,48.60285687446594
132,AA,facebook,2,8,25000,3945.2194073200226
133,AA,yeast,2,8,1000,10.806756496429443
134,B,facebook,1,12,10,28.844110012054443
135,AA,facebook,2,12,1000,285.0679135322571
136,AA,yeast,2,12,1000,10.607242584228516
137,AA,facebook,2,8,50000,7350.854975223541
138,AA,USAir,2,4,10,3.515737295150757
139,AA,facebook,2,8,100,244.72793745994568
140,B,arxiv,1,8,1000,1218.9681913852692
141,AB,yeast,1,8,500,250.31184005737305
142,AA,facebook,2,4,100,247.50748324394226
143,AA,facebook,2,4,5000,1555.701337814331
144,AA,facebook,2,8,500,270.34047961235046
145,AA,PB,2,4,1000,113.97893691062927
146,AA,arxiv,1,4,5000,17.306994199752808
147,AB,yeast,1,8,100,250.21142768859863
148,AA,facebook,2,4,500,273.5677921772003
149,AA,PB,1,8,10,2.9750912189483643
150,AA,arxiv,1,4,50000,146.80200910568237
151,AA,USAir,2,8,1000,9.419994592666626
152,AA,yeast,1,4,10,2.6129047870635986
153,AA,arxiv,1,4,25000,73.59871125221252
154,AA,PB,1,12,10,3.047935962677002
155,AA,facebook,2,12,5000,679.665125131607
156,B,PB,1,8,100,127.67521262168884
157,AB,PB,1,4,100,532.2514364719391
158,AA,facebook,1,8,100,14.310724973678589
159,B,USAir,1,12,500,444.68247270584106
160,AA,facebook,2,4,1000,436.9373688697815
161,B,PB,1,12,1000,1111.688812971115
162,AA,facebook,1,4,100,14.110223054885864
163,B,PB,1,4,100,164.0228786468506
164,B,yeast,1,12,100,95.87452936172485
165,AA,arxiv,2,4,5000,2399.372177839279
166,AA,PB,1,4,1000,8.971530437469482
167,B,facebook,1,8,1000,1502.9395160675049
168,AA,arxiv,1,4,100,6.34245491027832
169,AA,facebook,1,4,10,3.9614880084991455
170,B,USAir,1,4,1000,1218.8111727237701
171,AB,USAir,1,8,100,229.12210726737976
172,AA,arxiv,1,8,100,6.389190435409546
173,AA,USAir,1,8,1000,4.313756942749023
174,AA,arxiv,2,4,500,769.8901612758636
175,AA,arxiv,2,8,500,767.2891030311584
176,AA,facebook,1,12,5000,25.744378089904785
177,AA,facebook,1,4,1000,21.148234367370605
178,AA,USAir,1,4,10,3.0152089595794678
179,AA,facebook,2,4,10000,3045.1492483615875
180,AB,facebook,1,8,100,1512.4357740879059
181,B,PB,1,8,1000,1158.003184080124
182,AA,arxiv,1,8,10000,17.703288316726685
183,AB,facebook,1,8,500,1549.8671298027039
184,AA,arxiv,2,12,10000,1642.5556344985962
185,AA,arxiv,2,4,1000,783.6746129989624
186,B,arxiv,1,12,10,20.693414211273193
187,AA,arxiv,2,4,100,630.3027677536011
188,B,arxiv,1,8,10,27.250743865966797
189,AA,facebook,1,12,10000,40.48353290557861
190,AA,yeast,1,8,1000,4.416790962219238
191,AA,PB,2,8,10,15.550602674484253
192,AA,arxiv,2,8,100,628.4490187168121
193,AB,arxiv,1,12,10,51.385494232177734
194,B,yeast,1,4,1000,1202.9594960212708
195,AB,arxiv,1,8,1000,462.6271619796753
196,AA,yeast,2,4,10,2.9983456134796143
197,AA,arxiv,1,4,500,6.907779932022095
198,AA,facebook,1,12,1000,21.01850914955139
199,B,USAir,1,12,1000,843.155905008316
200,AB,USAir,1,8,500,245.3757746219635
201,AA,arxiv,1,8,500,6.699990272521973
202,AB,arxiv,1,4,1000,475.5395772457123
203,AA,PB,2,12,10,15.591596841812134
204,AA,yeast,1,12,1000,4.307572841644287
205,AA,facebook,1,4,5000,59.357218742370605
206,AA,arxiv,2,12,25000,4363.752858161926
207,AA,USAir,2,12,10,3.527468681335449
208,AA,arxiv,1,8,25000,39.49669933319092
209,B,PB,1,12,100,120.85293292999268
210,AB,facebook,1,12,500,1525.6555380821228
211,B,arxiv,1,4,1000,1452.1622061729431
212,AA,facebook,2,8,5000,861.9958028793335
213,B,yeast,1,8,10,21.602296352386475
214,AA,facebook,1,12,25000,99.05709981918335
215,B,PB,1,4,10,24.78349256515503
216,AA,yeast,2,12,10,3.005650758743286
217,AB,yeast,1,12,10,19.912943840026855
218,AA,arxiv,2,4,10,58.99835658073425
